Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Calendar Year (Jan-Dec),DJF,MAM,JJA,SON,Climate Year [1] (Dec-Nov),Climate Year [2] (Nov-Oct),Water Year (Oct-Sep),NDJFM,MJJAS
1988,-1.7,1.2,0.9,0.2,1.6,-0.8,2.8,3.3,-1.5,-4.1,2.4,-0.5,0.3,1.2,0.9,1.8,-1.1,0.7,0.6,0.7,1.1,1.1
1989,5.1,0.5,-0.5,-1.9,0.8,1.3,-0.1,-0.1,0.5,1.0,-0.8,-12.8,-0.6,1.7,-0.5,0.4,0.2,0.4,0.7,0.3,1.4,0.5
1990,9.3,5.5,3.4,2.0,-2.1,0.6,0.2,1.3,-0.6,3.1,3.2,6.1,2.7,0.7,1.1,0.7,1.9,1.1,0.8,0.6,0.9,-0.1
1991,0.9,6.2,3.7,3.8,5.4,2.0,0.7,2.4,-1.2,1.8,1.1,2.4,2.4,4.4,4.3,1.7,0.6,2.7,2.9,3.0,4.0,1.9
1992,2.2,3.2,-2.3,-0.9,-0.6,-1.6,-2.7,-1.7,-0.2,-3.3,0.0,2.3,-0.5,2.6,-1.3,-2.0,-1.2,-0.5,-0.4,0.1,1.3,-1.4
1993,4.1,-5.0,-2.5,1.2,1.2,-0.2,1.4,2.1,-0.6,-2.4,0.4,0.8,0.0,0.5,-0.0,1.1,-0.9,0.2,0.1,0.1,-0.2,0.8
1994,-8.2,-3.1,-0.7,2.5,-2.3,3.0,2.5,-1.2,-0.9,-0.1,4.9,5.6,0.2,-3.5,-0.2,1.4,1.3,-0.2,-0.6,-0.8,-2.2,0.2
1995,6.3,-1.9,3.9,-2.0,-0.8,2.1,2.4,2.7,-1.8,3.9,-3.0,-3.2,0.7,3.3,0.4,2.4,-0.3,1.4,2.1,1.8,3.8,0.9
1996,-0.7,1.1,-2.6,0.1,-1.7,1.7,-1.6,0.9,0.9,-0.3,-3.3,6.9,0.1,-0.9,-1.4,0.3,-0.9,-0.7,-0.7,-0.3,-1.7,0.0
1997,0.4,6.1,-0.2,-1.7,-4.1,0.6,-0.6,-0.8,-0.7,-0.7,-1.5,2.8,-0.0,4.5,-2.0,-0.3,-1.0,0.3,0.2,0.2,2.0,-1.1
1998,7.4,9.1,3.9,3.0,5.2,0.0,-0.1,2.0,2.5,1.2,1.9,7.6,3.6,6.4,4.0,0.6,1.9,3.2,3.0,2.8,4.3,1.9
1999,1.7,5.7,0.7,1.7,2.7,3.0,3.2,0.5,3.3,-1.4,5.6,4.5,2.6,5.0,1.7,2.2,2.5,2.9,2.5,2.8,3.5,2.5
2000,0.1,4.7,6.8,0.4,1.4,0.5,-3.1,-0.5,-0.7,0.8,0.5,-4.4,0.5,3.1,2.9,-1.0,0.2,1.3,1.7,1.5,4.3,-0.5
